sacado,valor,data_vencimento,dias_atraso
Sacado 091 Ltda,30595.58,2026-10-14,
Sacado 108 Ltda,43933.42,2026-07-26,
Sacado 016 Ltda,19587.75,2026-09-04,
Sacado 060 Ltda,5393.19,2026-06-25,34.0
Sacado 016 Ltda,61084.83,2026-04-04,28.0
Sacado 101 Ltda,52017.1,2026-06-20,2.0
Sacado 016 Ltda,33474.62,2026-07-02,0.0
Sacado 077 Ltda,31405.19,2026-06-16,0.0
Sacado 010 Ltda,68120.71,2026-05-09,16.0
Sacado 088 Ltda,20626.14,2026-05-03,23.0
Sacado 108 Ltda,16895.0,2026-04-11,12.0
Sacado 088 Ltda,25569.62,2026-07-03,29.0
Sacado 033 Ltda,76978.22,2026-04-30,0.0
Sacado 101 Ltda,9801.69,2026-07-30,
Sacado 037 Ltda,77146.69,2026-05-12,0.0
Sacado 090 Ltda,17829.29,2026-06-20,24.0
Sacado 100 Ltda,12325.25,2026-10-08,
Sacado 058 Ltda,81474.83,2026-07-09,0.0
Sacado 074 Ltda,27515.04,2026-08-24,
Sacado 102 Ltda,10507.16,2026-08-11,
Sacado 023 Ltda,22314.98,2026-09-16,
Sacado 003 Ltda,62620.12,2026-04-01,5.0
Sacado 052 Ltda,77161.77,2026-08-14,
Sacado 022 Ltda,21127.29,2026-05-09,31.0
Sacado 106 Ltda,41153.19,2026-05-26,67.0
Sacado 104 Ltda,52641.9,2026-09-27,
Sacado 045 Ltda,17752.8,2026-06-11,6.0
Sacado 037 Ltda,39498.93,2026-07-07,0.0
Sacado 085 Ltda,28983.95,2026-06-21,13.0
Sacado 054 Ltda,19364.18,2026-04-12,21.0
Sacado 012 Ltda,20055.96,2026-05-21,37.0
Sacado 079 Ltda,31370.64,2026-04-21,0.0
Sacado 087 Ltda,30451.26,2026-06-17,44.0
Sacado 009 Ltda,18913.06,2026-03-21,0.0
Sacado 093 Ltda,21146.8,2026-08-29,
Sacado 064 Ltda,72451.29,2026-07-11,33.0
Sacado 099 Ltda,35279.65,2026-04-05,22.0
Sacado 102 Ltda,60359.61,2026-10-15,
Sacado 081 Ltda,77765.86,2026-05-18,0.0
Sacado 040 Ltda,47623.13,2026-06-02,0.0
Sacado 045 Ltda,182902.6,2026-06-29,3.0
Sacado 087 Ltda,15363.61,2026-07-11,33.0
Sacado 008 Ltda,56767.98,2026-08-10,
Sacado 028 Ltda,23051.47,2026-07-10,16.0
Sacado 062 Ltda,131219.48,2026-08-03,
Sacado 113 Ltda,115884.83,2026-05-25,18.0
Sacado 091 Ltda,6226.88,2026-08-20,
Sacado 098 Ltda,13696.66,2026-09-16,
Sacado 023 Ltda,50587.02,2026-04-12,17.0
Sacado 034 Ltda,55932.1,2026-04-14,26.0
Sacado 032 Ltda,53597.16,2026-04-27,19.0
Sacado 090 Ltda,28093.9,2026-05-29,49.0
Sacado 064 Ltda,42791.58,2026-05-24,0.0
Sacado 026 Ltda,50132.12,2026-08-31,
Sacado 090 Ltda,27936.88,2026-05-19,0.0
Sacado 076 Ltda,67632.34,2026-09-23,
Sacado 107 Ltda,4877.57,2026-08-26,
Sacado 067 Ltda,49366.87,2026-10-04,
Sacado 015 Ltda,13000.69,2026-10-15,
Sacado 106 Ltda,64019.45,2026-04-04,0.0
Sacado 022 Ltda,24761.68,2026-08-11,
Sacado 007 Ltda,14602.82,2026-09-19,
Sacado 096 Ltda,40099.6,2026-03-27,40.0
Sacado 054 Ltda,14341.79,2026-04-24,11.0
Sacado 077 Ltda,14325.35,2026-05-22,0.0
Sacado 016 Ltda,8485.93,2026-05-03,0.0
Sacado 086 Ltda,29104.08,2026-09-05,
Sacado 049 Ltda,44243.28,2026-04-17,0.0
Sacado 119 Ltda,67401.38,2026-10-01,
Sacado 076 Ltda,26545.56,2026-06-04,5.0
Sacado 112 Ltda,68753.59,2026-07-23,
Sacado 095 Ltda,30162.92,2026-06-14,0.0
Sacado 101 Ltda,27594.43,2026-06-02,0.0
Sacado 011 Ltda,47044.55,2026-09-18,
Sacado 093 Ltda,69335.63,2026-06-03,8.0
Sacado 072 Ltda,22625.94,2026-10-12,
Sacado 048 Ltda,24464.8,2026-08-01,
Sacado 038 Ltda,26142.95,2026-06-04,0.0
Sacado 077 Ltda,31768.02,2026-09-18,
Sacado 024 Ltda,14467.69,2026-05-18,0.0
Sacado 022 Ltda,67670.45,2026-05-31,0.0
Sacado 105 Ltda,21583.24,2026-09-23,
Sacado 091 Ltda,43042.99,2026-04-30,0.0
Sacado 071 Ltda,15361.54,2026-09-22,
Sacado 091 Ltda,39618.17,2026-03-21,0.0
Sacado 039 Ltda,40671.16,2026-03-22,7.0
Sacado 086 Ltda,21236.04,2026-04-18,40.0
Sacado 025 Ltda,149748.36,2026-07-28,
Sacado 053 Ltda,40007.89,2026-09-15,
Sacado 018 Ltda,123197.39,2026-09-14,
Sacado 046 Ltda,64043.07,2026-07-30,
Sacado 041 Ltda,17503.92,2026-08-02,
Sacado 050 Ltda,21900.19,2026-10-15,
Sacado 057 Ltda,42145.43,2026-10-06,
Sacado 004 Ltda,31223.87,2026-04-04,0.0
Sacado 041 Ltda,30932.69,2026-07-16,16.0
Sacado 101 Ltda,23648.05,2026-06-05,69.0
Sacado 052 Ltda,6996.88,2026-04-18,0.0
Sacado 065 Ltda,24826.18,2026-09-04,
Sacado 013 Ltda,5041.72,2026-07-12,11.0
Sacado 047 Ltda,40032.85,2026-08-06,
Sacado 116 Ltda,16633.16,2026-07-07,0.0
Sacado 066 Ltda,16775.36,2026-04-04,0.0
Sacado 003 Ltda,24948.2,2026-09-19,
Sacado 086 Ltda,36980.2,2026-06-13,53.0
Sacado 092 Ltda,9455.91,2026-05-06,0.0
Sacado 046 Ltda,7340.18,2026-08-01,
Sacado 004 Ltda,12671.96,2026-05-23,13.0
Sacado 099 Ltda,5805.83,2026-08-12,
Sacado 031 Ltda,13718.77,2026-07-06,8.0
Sacado 110 Ltda,106160.4,2026-06-23,26.0
Sacado 044 Ltda,12768.43,2026-04-10,8.0
Sacado 047 Ltda,50067.34,2026-04-29,15.0
Sacado 095 Ltda,9923.81,2026-09-18,
Sacado 017 Ltda,37770.97,2026-10-09,
Sacado 004 Ltda,23022.17,2026-07-15,41.0
Sacado 091 Ltda,28343.41,2026-06-26,61.0
Sacado 111 Ltda,46864.8,2026-04-27,29.0
Sacado 119 Ltda,121175.13,2026-08-18,
Sacado 016 Ltda,34744.1,2026-08-04,
Sacado 018 Ltda,32842.78,2026-07-11,2.0
Sacado 041 Ltda,13647.42,2026-05-16,0.0
Sacado 085 Ltda,47413.95,2026-04-06,0.0
Sacado 109 Ltda,24419.62,2026-10-10,
Sacado 099 Ltda,57849.82,2026-05-09,0.0
Sacado 045 Ltda,28710.98,2026-08-05,
Sacado 110 Ltda,119692.9,2026-04-03,0.0
Sacado 031 Ltda,6085.52,2026-08-11,
Sacado 015 Ltda,23452.22,2026-04-30,7.0
Sacado 052 Ltda,60185.41,2026-08-14,
Sacado 011 Ltda,22458.99,2026-05-02,0.0
Sacado 081 Ltda,15776.26,2026-07-03,52.0
Sacado 118 Ltda,24035.7,2026-06-16,0.0
Sacado 013 Ltda,9858.18,2026-07-06,0.0
Sacado 014 Ltda,32701.07,2026-05-27,0.0
Sacado 022 Ltda,209477.05,2026-05-30,34.0
Sacado 022 Ltda,74311.81,2026-06-05,57.0
Sacado 064 Ltda,12244.02,2026-08-01,
Sacado 069 Ltda,14784.39,2026-09-08,
Sacado 114 Ltda,21508.81,2026-06-05,0.0
Sacado 054 Ltda,66405.35,2026-03-25,31.0
Sacado 111 Ltda,15410.59,2026-04-30,0.0
Sacado 090 Ltda,17116.79,2026-04-11,41.0
Sacado 102 Ltda,60342.96,2026-07-31,
Sacado 023 Ltda,59380.55,2026-09-06,
Sacado 055 Ltda,22047.36,2026-05-04,21.0
Sacado 109 Ltda,12158.57,2026-07-11,23.0
Sacado 090 Ltda,8605.91,2026-06-29,43.0
Sacado 026 Ltda,16997.27,2026-06-21,0.0
Sacado 101 Ltda,4991.92,2026-09-22,
Sacado 092 Ltda,54168.56,2026-05-16,0.0
Sacado 018 Ltda,17961.31,2026-07-29,
Sacado 009 Ltda,43697.01,2026-07-12,7.0
Sacado 031 Ltda,132542.67,2026-09-20,
Sacado 057 Ltda,75993.0,2026-05-06,0.0
Sacado 019 Ltda,11838.26,2026-10-03,
Sacado 004 Ltda,59599.3,2026-09-17,
Sacado 014 Ltda,75078.21,2026-06-23,41.0
Sacado 038 Ltda,16365.24,2026-09-10,
Sacado 047 Ltda,13868.32,2026-08-03,
Sacado 038 Ltda,27234.68,2026-05-27,34.0
Sacado 054 Ltda,8257.37,2026-09-16,
Sacado 086 Ltda,96431.48,2026-03-26,3.0
Sacado 030 Ltda,4340.34,2026-04-19,12.0
Sacado 055 Ltda,12265.6,2026-09-23,
Sacado 087 Ltda,23964.96,2026-09-03,
Sacado 007 Ltda,24793.34,2026-05-22,7.0
Sacado 112 Ltda,33958.67,2026-10-14,
Sacado 119 Ltda,36944.01,2026-08-05,
Sacado 035 Ltda,25062.06,2026-05-10,14.0
Sacado 106 Ltda,73829.16,2026-09-17,
Sacado 031 Ltda,5369.55,2026-10-15,
Sacado 110 Ltda,29728.71,2026-09-04,
Sacado 079 Ltda,16786.54,2026-07-30,
Sacado 030 Ltda,33057.73,2026-09-18,
Sacado 008 Ltda,35475.86,2026-09-06,
Sacado 047 Ltda,14336.11,2026-07-01,0.0
Sacado 089 Ltda,17805.11,2026-08-27,
Sacado 028 Ltda,56053.92,2026-09-13,
Sacado 062 Ltda,39310.42,2026-03-27,21.0
Sacado 015 Ltda,17254.03,2026-06-25,37.0
Sacado 051 Ltda,152042.1,2026-10-03,
Sacado 004 Ltda,188592.17,2026-05-15,0.0
Sacado 118 Ltda,9228.3,2026-07-28,
Sacado 060 Ltda,37851.88,2026-06-30,9.0
Sacado 101 Ltda,221282.52,2026-07-22,
Sacado 015 Ltda,55665.67,2026-05-30,0.0
Sacado 020 Ltda,35484.39,2026-08-01,
Sacado 021 Ltda,25173.69,2026-08-29,
Sacado 068 Ltda,19284.26,2026-08-23,
Sacado 103 Ltda,25084.07,2026-09-11,
Sacado 073 Ltda,19137.72,2026-05-13,29.0
Sacado 058 Ltda,53956.14,2026-04-19,0.0
Sacado 113 Ltda,21622.23,2026-07-12,25.0
Sacado 022 Ltda,20891.11,2026-04-24,0.0
Sacado 020 Ltda,11364.75,2026-07-30,
Sacado 080 Ltda,28576.16,2026-06-09,0.0
Sacado 102 Ltda,14540.64,2026-08-18,
Sacado 032 Ltda,25729.66,2026-06-26,0.0
Sacado 032 Ltda,68422.19,2026-07-17,0.0
Sacado 063 Ltda,39844.51,2026-10-07,
Sacado 093 Ltda,44523.85,2026-07-30,
Sacado 034 Ltda,39532.28,2026-10-04,
Sacado 099 Ltda,31174.03,2026-05-10,0.0
Sacado 062 Ltda,26853.12,2026-10-10,
Sacado 084 Ltda,23242.9,2026-05-05,7.0
Sacado 075 Ltda,54572.95,2026-08-21,
Sacado 058 Ltda,12489.06,2026-03-30,11.0
Sacado 064 Ltda,86905.63,2026-08-10,
Sacado 119 Ltda,30554.35,2026-09-21,
Sacado 048 Ltda,16334.58,2026-05-16,0.0
Sacado 113 Ltda,20104.18,2026-04-23,0.0
Sacado 095 Ltda,17299.06,2026-06-07,1.0
Sacado 022 Ltda,33798.28,2026-04-04,0.0
Sacado 104 Ltda,16742.83,2026-03-21,0.0
Sacado 046 Ltda,74139.59,2026-06-18,0.0
Sacado 022 Ltda,15909.77,2026-09-11,
Sacado 031 Ltda,4827.01,2026-06-13,4.0
Sacado 017 Ltda,16567.55,2026-05-17,28.0
Sacado 041 Ltda,5962.13,2026-05-07,0.0
Sacado 014 Ltda,28799.26,2026-04-06,6.0
Sacado 065 Ltda,69378.09,2026-06-11,0.0
Sacado 117 Ltda,49921.54,2026-05-26,16.0
Sacado 115 Ltda,10197.81,2026-06-23,25.0
Sacado 113 Ltda,16158.41,2026-05-27,10.0
Sacado 030 Ltda,123365.51,2026-07-23,
Sacado 028 Ltda,38361.48,2026-08-20,
Sacado 081 Ltda,29830.75,2026-03-23,46.0
Sacado 116 Ltda,69206.5,2026-03-22,0.0
Sacado 099 Ltda,211544.97,2026-05-18,0.0
Sacado 025 Ltda,83889.74,2026-05-08,41.0
Sacado 088 Ltda,33240.76,2026-04-08,32.0
Sacado 061 Ltda,39487.94,2026-09-25,
Sacado 053 Ltda,48711.18,2026-04-08,0.0
Sacado 060 Ltda,18212.09,2026-09-16,
Sacado 065 Ltda,12746.66,2026-04-03,14.0
Sacado 109 Ltda,31006.72,2026-07-31,
Sacado 095 Ltda,13936.0,2026-06-09,0.0
Sacado 005 Ltda,28306.03,2026-07-16,0.0
Sacado 091 Ltda,32109.22,2026-07-08,0.0
Sacado 038 Ltda,193460.74,2026-05-06,15.0
Sacado 041 Ltda,15050.4,2026-04-11,14.0
Sacado 072 Ltda,26972.39,2026-09-20,
Sacado 118 Ltda,26070.45,2026-08-21,
Sacado 008 Ltda,42186.2,2026-08-27,
Sacado 062 Ltda,68691.41,2026-07-28,
Sacado 029 Ltda,20082.68,2026-07-06,0.0
Sacado 109 Ltda,15412.26,2026-09-15,
Sacado 056 Ltda,8001.88,2026-04-23,33.0
Sacado 102 Ltda,14172.18,2026-07-26,
Sacado 105 Ltda,45667.98,2026-05-05,26.0
Sacado 012 Ltda,30838.45,2026-08-04,
Sacado 091 Ltda,13195.79,2026-06-08,0.0
Sacado 095 Ltda,22065.84,2026-06-18,0.0
Sacado 099 Ltda,30490.74,2026-05-29,0.0
Sacado 118 Ltda,44486.59,2026-07-24,
Sacado 091 Ltda,18495.53,2026-04-02,29.0
Sacado 100 Ltda,24334.44,2026-08-30,
Sacado 085 Ltda,6941.35,2026-06-14,19.0
Sacado 036 Ltda,11835.89,2026-10-12,
Sacado 102 Ltda,108463.88,2026-06-23,21.0
Sacado 084 Ltda,5164.11,2026-04-15,41.0
Sacado 082 Ltda,22691.78,2026-05-20,0.0
Sacado 116 Ltda,35431.57,2026-06-25,0.0
Sacado 088 Ltda,22037.94,2026-06-09,0.0
Sacado 041 Ltda,15575.8,2026-05-15,45.0
Sacado 036 Ltda,28314.72,2026-05-29,37.0
Sacado 040 Ltda,29614.75,2026-08-21,
Sacado 020 Ltda,27842.14,2026-06-08,0.0
Sacado 010 Ltda,6619.87,2026-04-22,9.0
Sacado 091 Ltda,26425.3,2026-07-28,
Sacado 094 Ltda,15001.57,2026-08-23,
Sacado 020 Ltda,19183.61,2026-07-03,0.0
Sacado 047 Ltda,35652.69,2026-08-20,
Sacado 110 Ltda,49641.53,2026-05-01,0.0
Sacado 100 Ltda,60926.4,2026-04-20,26.0
Sacado 072 Ltda,19987.64,2026-09-04,
